Country,Time,Annual CO2 emissions (per capita)
Afghanistan,2015,0.29007638
Afghanistan,2016,0.2617953
Afghanistan,2017,0.2768525
Afghanistan,2018,0.29487586
Afghanistan,2019,0.29340136
Afghanistan,2020,0.29974586
Afghanistan,2021,0.29611897
Albania,2015,1.6347499
Albania,2016,1.6077313
Albania,2017,1.9324249
Albania,2018,1.7323643
Albania,2019,1.7215332
Albania,2020,1.6493919
Albania,2021,1.618066
Algeria,2015,4.0484247
Algeria,2016,3.9353251
Algeria,2017,4.0453415
Algeria,2018,4.1479607
Algeria,2019,4.2033315
Algeria,2020,3.9700308
Algeria,2021,3.9899774
Andorra,2015,6.4839616
Andorra,2016,6.4632387
Andorra,2017,6.3007326
Andorra,2018,6.5922117
Andorra,2019,6.285722
Andorra,2020,5.775433
Andorra,2021,5.7286263
Angola,2015,0.9076792
Angola,2016,0.9332855
Angola,2017,0.8045412
Angola,2018,0.72839534
Angola,2019,0.6743616
Angola,2020,0.60654044
Angola,2021,0.6191414
Anguilla,2015,10.573588
Anguilla,2016,10.368414
Anguilla,2017,9.501064
Anguilla,2018,9.4004345
Anguilla,2019,9.987539
Anguilla,2020,8.415962
Anguilla,2021,9.173204
Antigua and Barbuda,2015,5.3356457
Antigua and Barbuda,2016,5.4206567
Antigua and Barbuda,2017,5.387467
Antigua and Barbuda,2018,5.437388
Antigua and Barbuda,2019,5.408881
Antigua and Barbuda,2020,4.5909553
Antigua and Barbuda,2021,5.027352
Argentina,2015,4.4326596
Argentina,2016,4.3491664
Argentina,2017,4.242436
Argentina,2018,4.0663075
Argentina,2019,3.9894862
Argentina,2020,3.7583838
Argentina,2021,4.117966
Armenia,2015,1.8999954
Armenia,2016,1.8155274
Armenia,2017,1.9425985
Armenia,2018,2.0538187
Armenia,2019,2.2279305
Armenia,2020,2.2920723
Armenia,2021,2.4385939
Aruba,2015,8.60927
Aruba,2016,8.418571
Aruba,2017,8.443037
Aruba,2018,8.22827
Aruba,2019,8.569915
Aruba,2020,7.3074665
Aruba,2021,8.054269
Asia,2015,4.3081627
Asia,2016,4.286941
Asia,2017,4.3631473
