location,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,aged_65_older,gdp_per_capita,cardiovasc_death_rate,population
Afghanistan,Jan-21,1671259,2693,71891,211,40634.79,65.477,1747.946,5.13,80.011,55923.597,18507.899,1274991932
Afghanistan,Jan-22,4938320,4848,228855,58,120069.719,117.876,5564.353,1.411,80.011,55923.597,18507.899,1274991932
Afghanistan,Oct-20,1246695,1980,46274,71,30311.992,48.139,1125.099,1.726,80.011,55923.597,18507.899,1274991932
Afghanistan,Oct-21,4827238,1076,224427,76,117368.882,26.162,5456.694,1.85,80.011,55923.597,18507.899,1274991932
Afghanistan,Oct-22,6237917,3875,242155,22,151667.961,94.215,5887.731,0.535,80.011,55923.597,18507.899,1274991932
Afghanistan,Nov-20,1303865,4881,48777,230,31702.016,118.678,1185.957,5.593,77.43,54119.61,17910.87,1233863160
Afghanistan,Nov-21,4701215,1039,218866,28,114304.774,25.261,5321.48,0.68,77.43,54119.61,17910.87,1233863160
Afghanistan,Nov-22,6140134,2844,234889,11,149290.477,69.149,5711.062,0.266,77.43,54119.61,17910.87,1233863160
Afghanistan,Dec-20,1539551,6115,62050,426,37432.459,148.681,1508.677,10.357,80.011,55923.597,18507.899,1274991932
Afghanistan,Dec-21,4889195,795,227309,48,118875.299,19.333,5526.761,1.166,80.011,55923.597,18507.899,1274991932
Afghanistan,Dec-22,2063087,636,78360,6,50161.649,15.463,1905.237,0.146,25.81,18039.87,5970.29,411287720
Afghanistan,Feb-20,30,5,2043247.52,4254.82933,0.732,0.122,20981.03037,46.89895295,15.486,10823.922,3582.174,246772632
Afghanistan,Feb-21,1553102,691,67864,43,37761.936,16.803,1650.039,1.044,72.268,50511.636,16716.812,1151605616
Afghanistan,Feb-22,4759331,10733,210096,184,115717.8,260.961,5108.248,4.475,72.268,50511.636,16716.812,1151605616
Afghanistan,Mar-20,1141,163,21,4,27.746,3.964,0.51,0.097,80.011,55923.597,18507.899,1274991932
Afghanistan,Mar-21,1737068,740,76227,41,42234.862,17.993,1853.373,0.998,80.011,55923.597,18507.899,1274991932
Afghanistan,Mar-22,5465007,4088,236979,72,132875.521,99.396,5761.875,1.752,80.011,55923.597,18507.899,1274991932
Afghanistan,Apr-20,25152,1661,812,56,611.544,40.386,19.742,1.36,77.43,54119.61,17910.87,1233863160
Afghanistan,Apr-21,1733260,3291,76300,141,42142.275,80.017,1855.148,3.427,77.43,54119.61,17910.87,1233863160
Afghanistan,Apr-22,5350389,1132,230302,13,130088.711,27.525,5599.539,0.314,77.43,54119.61,17910.87,1233863160
Afghanistan,May-20,222720,13353,4924,194,5415.188,324.664,119.724,4.715,80.011,55923.597,18507.899,1274991932
Afghanistan,May-21,1991950,12093,85386,319,48432.03,294.029,2076.065,7.758,80.011,55923.597,18507.899,1274991932
Afghanistan,May-22,5562250,1468,238432,22,135239.873,35.693,5797.207,0.533,80.011,55923.597,18507.899,1274991932
Afghanistan,Jun-20,751685,16265,14982,485,18276.379,395.466,364.269,11.794,77.43,54119.61,17910.87,1233863160
Afghanistan,Jun-21,2848717,46821,114208,1927,69263.36,1138.402,2776.838,46.853,77.43,54119.61,17910.87,1233863160
Afghanistan,Jun-22,5441364,2181,231381,18,132300.666,53.03,5625.771,0.437,77.43,54119.61,17910.87,1233863160
Afghanistan,Jul-20,1079412,5183,33439,536,26244.694,126.017,813.031,13.031,80.011,55923.597,18507.899,1274991932
Afghanistan,Jul-21,4241348,28495,184478,1837,103123.623,692.822,4485.375,44.662,80.011,55923.597,18507.899,1274991932
Afghanistan,Jul-22,5699567,3221,239718,25,138578.584,78.313,5828.476,0.606,80.011,55923.597,18507.899,1274991932
Afghanistan,Aug-20,1165099,1620,42108,131,28328.078,39.387,1023.808,3.187,80.011,55923.597,18507.899,1274991932
Afghanistan,Aug-21,4696019,6066,216817,410,114178.44,147.486,5271.661,9.969,80.011,55923.597,18507.899,1274991932
Afghanistan,Aug-22,5876924,7501,240588,29,142890.82,182.38,5849.625,0.705,80.011,55923.597,18507.899,1274991932
Afghanistan,Sep-20,1166401,1106,43060,56,28359.736,26.892,1046.957,1.362,77.43,54119.61,17910.87,1233863160
Afghanistan,Sep-21,4628009,1954,215185,86,112524.852,47.51,5231.987,2.091,77.43,54119.61,17910.87,1233863160
Afghanistan,Sep-22,5899026,5938,233728,23,143428.207,144.376,5682.835,0.559,77.43,54119.61,17910.87,1233863160
Africa,Jan-21,99495106,809148,2428134,25536,69736.142,567.132,1701.883,17.894,258.3382356,573342.9311,7684.160669,44228835034
Africa,Jan-22,321635092,1130918,7248640,10220,225434.106,792.662,5080.574,7.162,258.3382356,573342.9311,7684.160669,44228835034
Africa,Oct-20,50494925,303545,1218154,6993,35391.902,212.754,853.803,4.903,258.3382356,573342.9311,7684.160669,44228835034
Africa,Oct-21,261110186,193779,6670210,7837,183012.188,135.819,4675.15,5.494,258.3382356,573342.9311,7684.160669,44228835034
